;;Student;Topic;Preference_Rank;Rank
Rank_1;0;1;3;2;1
Rank_1;1;11;13;1;1
Rank_1;2;12;1;1;1
Rank_1;3;13;2;1;1
Rank_1;4;14;6;2;1
Rank_1;5;15;5;2;1
Rank_1;6;16;4;2;1
Rank_1;7;17;4;2;1
Rank_1;8;18;11;3;1
Rank_1;9;19;1;1;1
Rank_1;10;20;11;1;1
Rank_1;11;2;10;1;1
Rank_1;12;21;13;1;1
Rank_1;13;22;2;1;1
Rank_1;14;23;10;2;1
Rank_1;15;24;11;1;1
Rank_1;16;25;2;1;1
Rank_1;17;26;6;2;1
Rank_1;18;27;12;2;1
Rank_1;19;28;5;1;1
Rank_1;20;29;3;2;1
Rank_1;21;30;10;1;1
Rank_1;22;3;1;1;1
Rank_1;23;4;3;1;1
Rank_1;24;5;6;1;1
Rank_1;25;6;12;1;1
Rank_1;26;7;4;3;1
Rank_1;27;8;13;2;1
Rank_1;28;9;5;1;1
Rank_1;29;10;12;3;1
Rank_2;0;1;3;2;2
Rank_2;1;11;13;1;2
Rank_2;2;12;1;1;2
Rank_2;3;13;2;1;2
Rank_2;4;14;6;2;2
Rank_2;5;15;2;1;2
Rank_2;6;16;4;2;2
Rank_2;7;17;4;2;2
Rank_2;8;18;11;3;2
Rank_2;9;19;1;1;2
Rank_2;10;20;11;1;2
Rank_2;11;2;10;1;2
Rank_2;12;21;13;1;2
Rank_2;13;22;2;1;2
Rank_2;14;23;10;2;2
Rank_2;15;24;11;1;2
Rank_2;16;25;5;2;2
Rank_2;17;26;6;2;2
Rank_2;18;27;12;2;2
Rank_2;19;28;5;1;2
Rank_2;20;29;3;2;2
Rank_2;21;30;10;1;2
Rank_2;22;3;1;1;2
Rank_2;23;4;3;1;2
Rank_2;24;5;6;1;2
Rank_2;25;6;12;1;2
Rank_2;26;7;4;3;2
Rank_2;27;8;13;2;2
Rank_2;28;9;5;1;2
Rank_2;29;10;12;3;2
Rank_3;0;1;3;2;3
Rank_3;1;11;13;1;3
Rank_3;2;12;3;2;3
Rank_3;3;13;2;1;3
Rank_3;4;14;6;2;3
Rank_3;5;15;5;2;3
Rank_3;6;16;4;2;3
Rank_3;7;17;4;2;3
Rank_3;8;18;11;3;3
Rank_3;9;19;1;1;3
Rank_3;10;20;11;1;3
Rank_3;11;2;10;1;3
Rank_3;12;21;13;1;3
Rank_3;13;22;2;1;3
Rank_3;14;23;10;2;3
Rank_3;15;24;11;1;3
Rank_3;16;25;2;1;3
Rank_3;17;26;4;3;3
Rank_3;18;27;12;2;3
Rank_3;19;28;5;1;3
Rank_3;20;29;5;1;3
Rank_3;21;30;10;1;3
Rank_3;22;3;1;1;3
Rank_3;23;4;3;1;3
Rank_3;24;5;6;1;3
Rank_3;25;6;12;1;3
Rank_3;26;7;1;1;3
